DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
DB01262,C0023467,10,10,10,1.0
DB01092,C0018801,5,5,5,1.0
DB00004,C0079773,21,21,21,1.0
DB00055,C0040053,12,12,12,1.0
DB11629,C0020443,27,28,27,0.9642857142857143
DB00968,C0020538,58,14,4,0.058823529411764705
DB05541,C0036572,464,425,424,0.9118279569892473
DB00288,C0079773,4,4,4,1.0
DB01380,C0004096,5,5,5,1.0
DB06706,C0018681,25,25,24,0.9230769230769231
DB00571,C0018802,58,31,31,0.5344827586206896
DB00821,C0029408,91,29,27,0.2903225806451613
DB01045,C0025289,22,18,18,0.8181818181818182
DB01206,C0006118,6,6,6,1.0
DB00568,C0020517,52,42,38,0.6785714285714286
DB01005,C0002895,8,8,8,1.0
DB06155,C0028754,47,7,5,0.10204081632653061
DB00887,C0018802,56,57,56,0.9824561403508771
DB00489,C0004238,17,17,17,1.0
DB00418,C0014544,142,96,94,0.6527777777777778
DB01018,C1263846,22,4,2,0.08333333333333333
DB00007,C0014170,2,2,2,1.0
DB09080,C0024117,31,3,3,0.0967741935483871
DB11742,C0042109,26,25,25,0.9615384615384616
DB00068,C0036220,1,1,1,1.0
DB01234,C0022548,30,11,10,0.3225806451612903
DB00443,C0011616,8,8,8,1.0
DB01197,C0018802,54,23,23,0.42592592592592593
DB00719,C0033774,1,1,1,1.0
DB01281,C3495559,2,2,2,1.0
DB00959,C0019829,1,1,1,1.0
DB11994,C0029408,90,25,21,0.22340425531914893
DB00950,C0042109,25,25,25,1.0
DB09280,C0010674,1,1,1,1.0
DB00374,C0020542,40,5,4,0.0975609756097561
DB00313,C0002395,67,36,35,0.5147058823529411
DB01070,C0029456,1,1,1,1.0
DB00889,C0042963,1,1,1,1.0
DB04842,C0036341,8,8,8,1.0
DB00783,C0029456,139,50,50,0.3597122302158273
DB01233,C0042963,80,71,71,0.8875
DB00694,C0023487,34,3,3,0.08823529411764706
DB08936,C2607914,1,1,1,1.0
DB00571,C0027051,61,9,9,0.14754098360655737
DB01260,C0015230,11,8,5,0.35714285714285715
DB00724,C0007117,12,2,1,0.07692307692307693
prednisolone-sodium-phosphate,C0032285,9,9,9,1.0
DB00764,C0011616,8,8,8,1.0
DB00262,C0024305,17,17,17,1.0
DB00033,C0018916,10,10,10,1.0
DB13036,C0004096,5,4,1,0.125
ACT-132577,C2973725,23,1,1,0.043478260869565216
DB00996,C0014544,472,449,449,0.951271186440678
DB00443,C0003872,2,2,2,1.0
DB00937,C0028754,162,1,0,0.0
DB00591,C0079773,4,4,4,1.0
DB00722,C0011849,3,3,3,1.0
DB11274,C0030567,16,6,4,0.2222222222222222
DB00790,C0018802,30,7,4,0.12121212121212122
DB00253,C0013182,4,4,4,1.0
DB00108,C0026769,30,29,29,0.9666666666666667
DB01057,C0017601,34,34,34,1.0
DB12017,C0038454,30,2,1,0.03225806451612903
DB00420,C2607914,5,5,5,1.0
DB00620,C0033860,16,16,16,1.0
DB00873,C0020473,30,3,3,0.1
DB00532,C0036572,446,12,11,0.024608501118568233
dexamethasone-sodium-phosphate,C0020437,2,2,2,1.0
DB01181,C0023434,28,28,28,1.0
DB01114,C0020517,34,34,32,0.8888888888888888
DB00387,C0030567,37,30,29,0.7631578947368421
tepoxalin,C0003873,1,1,1,1.0
DB00233,C0041296,3,3,3,1.0
DB06470,C0030567,19,2,1,0.05
DB00482,C0029408,93,84,82,0.8631578947368421
DB00539,C0376358,6,6,6,1.0
DB00086,C0034065,2,2,2,1.0
DB01033,C0023487,33,33,33,1.0
DB00771,C0003811,48,3,1,0.02
DB00214,C0020538,2,2,2,1.0
DB00834,C0011849,67,18,18,0.26865671641791045
DB01628,C0003873,1,1,1,1.0
DB04924,C0018834,2,2,2,1.0
DB01144,C0014544,423,211,211,0.4988179669030733
DB11783,C0018802,1,1,1,1.0
DB00773,C0023467,3,3,3,1.0
DB00997,C0079744,1,1,1,1.0
DB00952,C0149931,34,2,2,0.058823529411764705
DB00068,C0036920,3,3,3,1.0
DB01095,C0020443,1,1,1,1.0
DB01620,C0015967,3,3,3,1.0
DB01252,C0011860,8,8,8,1.0
DB00620,C2607914,5,2,2,0.4
DB06203,C0011860,2,2,2,1.0
DB01013,C0011616,10,15,8,0.47058823529411764
DB01170,C0020538,1,1,1,1.0
DB00774,C0018802,56,56,56,1.0
DB01144,C0017601,76,76,76,1.0
DB06271,C0040053,19,19,19,1.0
DB04942,C0023418,8,8,8,1.0
DB09126,C0021361,1,1,1,1.0
DB04845,C0006142,14,14,14,1.0
DB00909,C0036572,492,451,451,0.9166666666666666
DB00902,C0011615,1,1,1,1.0
DB00290,C0024301,17,17,17,1.0
DB08808,C0003811,7,7,7,1.0
DB00844,C0030193,2,2,2,1.0
DB00420,C0036341,28,28,28,1.0
DB00068,C0037299,1,1,1,1.0
DB09401,C1956346,2,2,2,1.0
DB06714,C0028754,152,1,0,0.0
DB00988,C0027051,72,65,65,0.9027777777777778
DB09054,C0023434,32,10,10,0.3125
DB00282,C0026764,1,1,1,1.0
DB00860,C0021655,22,22,22,1.0
DB00555,C0005586,354,133,133,0.3757062146892655
DB00499,C0033578,53,53,53,1.0
DB00284,C0020456,23,23,23,1.0
DB00029,C0034065,12,5,4,0.3076923076923077
DB00665,C0033578,51,51,51,1.0
DB00428,C0009404,56,4,3,0.05263157894736842
DB00792,C0020517,1,1,1,1.0
DB00714,C0242350,26,8,8,0.3076923076923077
DB00972,C0020517,1,1,1,1.0
hydrocortisone-phosphate,C0009319,3,3,3,1.0
DB12153,C0017601,62,42,42,0.6774193548387096
DB00262,C0004114,1,1,1,1.0
DB01113,C0917798,17,17,17,1.0
DB09068,C1269683,34,34,34,1.0
DB06413,C0027404,7,7,7,1.0
DB00853,C0017636,1,1,1,1.0
DB00083,C0038379,221,11,10,0.04504504504504504
DB05099,C0040053,1,1,1,1.0
DB01396,C0004238,28,2,2,0.07142857142857142
trepibutone,C0022104,2,1,1,0.5
DB00554,C0029408,91,29,27,0.2903225806451613
DB00755,C0870082,44,44,44,1.0
DB00091,C0026896,5,5,5,1.0
DB06782,C0311375,9,9,9,1.0
DB06213,C0878544,23,11,11,0.4782608695652174
DB00310,C0013604,50,50,50,1.0
DB01195,C0042514,18,13,11,0.55
ibuprofen-lysine,C0013274,2,2,2,1.0
DB00181,C0020179,10,10,10,1.0
DB01600,C0030193,15,15,15,1.0
DB06264,C0038013,2,2,2,1.0
DB00105,C0024305,16,16,16,1.0
DB01169,C0023487,33,33,33,1.0
DB00415,C0025289,19,6,6,0.3157894736842105
DB01359,C0027051,61,8,8,0.13114754098360656
DB00552,C0002871,1,1,1,1.0
DB00590,C0020507,17,12,12,0.7058823529411765
DB01251,C0011860,2,2,2,1.0
DB00255,C1458155,57,57,57,1.0
DB09477,C0013604,52,21,21,0.40384615384615385
DB09302,C0020473,1,1,1,1.0
DB00433,C0027498,72,34,32,0.43243243243243246
DB00277,C0004096,72,66,66,0.9166666666666666
DB01005,C0033860,37,3,3,0.08108108108108109
DB00945,C0015967,101,67,66,0.6470588235294118
DB00762,C0007131,5,5,5,1.0
DB00619,C0238198,7,2,2,0.2857142857142857
DB00423,C0026838,17,17,17,1.0
DB01231,C0042571,9,9,9,1.0
DB00846,C0011615,5,5,5,1.0
DB00439,C0020473,1,1,1,1.0
DB01393,C0011849,11,11,11,1.0
DB01206,C0024121,37,37,37,1.0
DB00603,C0014175,33,33,33,1.0
DB01229,C0024121,142,72,70,0.4861111111111111
DB00022,C0018916,22,1,1,0.045454545454545456
DB00727,C0037299,39,39,39,1.0
DB00227,C0020473,29,27,27,0.9310344827586207
DB01009,C0038013,3,3,2,0.5
DB00163,C0004153,38,35,35,0.9210526315789473
DB06766,C0020517,1,1,1,1.0
DB01229,C0919267,75,71,71,0.9466666666666667
DB00203,C0242350,23,23,23,1.0
DB06267,C0242350,18,18,18,1.0
DB00092,C0033860,42,34,32,0.7272727272727273
DB00078,C0024301,15,15,15,1.0
DB01185,C0151721,15,4,4,0.26666666666666666
DB01396,C0003811,2,2,2,1.0
DB01073,C0024305,17,16,16,0.9411764705882353
DB00203,C2973725,31,24,24,0.7741935483870968
DB00044,C0021361,1,1,1,1.0
DB00682,C0878544,81,14,13,0.15853658536585366
DB01364,C0028754,177,67,63,0.34806629834254144
DB01222,C0010346,5,5,5,1.0
DB00940,C0022104,2,1,1,0.5
DB01234,C0022568,21,21,21,1.0
DB01165,C0032285,3,3,3,1.0
DB06151,C0034067,20,20,20,1.0
maropitant,C0042963,1,1,1,1.0
DB00310,C0027726,47,47,47,1.0
DB00584,C0003873,1,1,1,1.0
DB01599,C0020443,22,13,11,0.4583333333333333
DB00620,C0027726,4,4,4,1.0
DB00647,C0030193,15,3,2,0.125
DB09064,C0020473,2,2,2,1.0
